year,number,qualification,sex
2021,281200,Below Secondary,male
2020,324400,Below Secondary,male
2019,319200,Below Secondary,male
2018,320000,Below Secondary,male
2017,349000,Below Secondary,male
2016,349400,Below Secondary,male
2015,345100,Below Secondary,male
2014,363400,Below Secondary,male
2013,360600,Below Secondary,male
2012,368000,Below Secondary,male
2011,378900,Below Secondary,male
2010,388600,Below Secondary,male
2009,409700,Below Secondary,male
2008,401400,Below Secondary,male
2007,448900,Below Secondary,male
2006,449800,Below Secondary,male
2005,413300,Below Secondary,male
2004,453500,Below Secondary,male
2003,461600,Below Secondary,male
2002,457600,Below Secondary,male
2001,451200,Below Secondary,male
2000,422300,Below Secondary,male
2021,211200,Secondary,male
2020,215000,Secondary,male
2019,220900,Secondary,male
2018,225500,Secondary,male
2017,216900,Secondary,male
2016,218600,Secondary,male
2015,227400,Secondary,male
2014,217000,Secondary,male
2013,220700,Secondary,male
2012,217900,Secondary,male
2011,225900,Secondary,male
2010,222400,Secondary,male
2009,261700,Secondary,male
2008,248200,Secondary,male
2007,237700,Secondary,male
2006,238200,Secondary,male
2005,230900,Secondary,male
2004,232400,Secondary,male
2003,234400,Secondary,male
2002,240800,Secondary,male
2001,235400,Secondary,male
2000,240900,Secondary,male
2021,151300,Post Secondary (Non-Tertiary),male
2020,158100,Post Secondary (Non-Tertiary),male
2019,143600,Post Secondary (Non-Tertiary),male
2018,143100,Post Secondary (Non-Tertiary),male
2017,135400,Post Secondary (Non-Tertiary),male
2016,139300,Post Secondary (Non-Tertiary),male
2015,137300,Post Secondary (Non-Tertiary),male
2014,130200,Post Secondary (Non-Tertiary),male
2013,127700,Post Secondary (Non-Tertiary),male
2012,132100,Post Secondary (Non-Tertiary),male
2011,127500,Post Secondary (Non-Tertiary),male
2010,132200,Post Secondary (Non-Tertiary),male
2009,71400,Post Secondary (Non-Tertiary),male
2008,87600,Post Secondary (Non-Tertiary),male
2007,79300,Post Secondary (Non-Tertiary),male
2006,78100,Post Secondary (Non-Tertiary),male
2005,107900,Post Secondary (Non-Tertiary),male
2004,72800,Post Secondary (Non-Tertiary),male
2003,73800,Post Secondary (Non-Tertiary),male
2002,74900,Post Secondary (Non-Tertiary),male
2001,71700,Post Secondary (Non-Tertiary),male
2000,93600,Post Secondary (Non-Tertiary),male
2021,247100,Diploma & Professional Qualification,male
2020,230000,Diploma & Professional Qualification,male
2019,235500,Diploma & Professional Qualification,male
2018,219500,Diploma & Professional Qualification,male
2017,208500,Diploma & Professional Qualification,male
2016,211800,Diploma & Professional Qualification,male
2015,205300,Diploma & Professional Qualification,male
2014,203600,Diploma & Professional Qualification,male
2013,189200,Diploma & Professional Qualification,male
2012,187400,Diploma & Professional Qualification,male
2011,186100,Diploma & Professional Qualification,male
2010,177300,Diploma & Professional Qualification,male
2009,165800,Diploma & Professional Qualification,male
2008,154500,Diploma & Professional Qualification,male
2007,147200,Diploma & Professional Qualification,male
2006,138700,Diploma & Professional Qualification,male
2005,141400,Diploma & Professional Qualification,male
2004,124300,Diploma & Professional Qualification,male
2003,117200,Diploma & Professional Qualification,male
2002,110500,Diploma & Professional Qualification,male
2001,105200,Diploma & Professional Qualification,male
2000,111100,Diploma & Professional Qualification,male
2021,540100,University,male
2020,485400,University,male
2019,475700,University,male
2018,468400,University,male
2017,453400,University,male
2016,415500,University,male
2015,401000,University,male
2014,395700,University,male
2013,379700,University,male
2012,353700,University,male
2011,331300,University,male
2010,321900,University,male
2009,302400,University,male
2008,285900,University,male
2007,265700,University,male
2006,259300,University,male
2005,224200,University,male
2004,224000,University,male
2003,209100,University,male
2002,183500,University,male
2001,167700,University,male
2000,144800,University,male
2021,362700,Below Secondary,female
2020,433400,Below Secondary,female
2019,426500,Below Secondary,female
2018,441500,Below Secondary,female
2017,464700,Below Secondary,female
2016,469900,Below Secondary,female
2015,454900,Below Secondary,female
2014,468700,Below Secondary,female
2013,472700,Below Secondary,female
2012,480100,Below Secondary,female
