year,qualification,sex,belowSecondary,secondary,postSecondaryNonTertiary,diploma,university
2021,Below Secondary,male,281200,211200,151300,247100,540100
2020,Below Secondary,male,324400,215000,158100,230000,485400
2019,Below Secondary,male,319200,220900,143600,235500,475700
2018,Below Secondary,male,320000,225500,143100,219500,468400
2017,Below Secondary,male,349000,216900,135400,208500,453400
2016,Below Secondary,male,349400,218600,139300,211800,415500
2015,Below Secondary,male,345100,227400,137300,205300,401000
2014,Below Secondary,male,363400,217000,130200,203600,395700
2013,Below Secondary,male,360600,220700,127700,189200,379700
2012,Below Secondary,male,368000,217900,132100,187400,353700
2011,Below Secondary,male,378900,225900,127500,186100,331300
2010,Below Secondary,male,388600,222400,132200,177300,321900
2009,Below Secondary,male,409700,261700,71400,165800,302400
2008,Below Secondary,male,401400,248200,87600,154500,285900
2007,Below Secondary,male,448900,237700,79300,147200,265700
2006,Below Secondary,male,449800,238200,78100,138700,259300
2005,Below Secondary,male,413300,230900,107900,141400,224200
2004,Below Secondary,male,453500,232400,72800,124300,224000
2003,Below Secondary,male,461600,234400,73800,117200,209100
2002,Below Secondary,male,457600,240800,74900,110500,183500
2001,Below Secondary,male,451200,235400,71700,105200,167700
2000,Below Secondary,male,422300,240900,93600,111100,144800
2021,Below Secondary,female,362700,281300,130000,239000,534200
2020,Below Secondary,female,433400,269300,138800,226700,496600
2019,Below Secondary,female,426500,282800,122400,225700,470500
2018,Below Secondary,female,441500,285600,117600,215400,440400
2017,Below Secondary,female,464700,271900,118200,207300,420500
2016,Below Secondary,female,469900,281800,110600,199700,398700
2015,Below Secondary,female,454900,291800,113200,200200,374800
2014,Below Secondary,female,468700,285500,107800,198200,362400
2013,Below Secondary,female,472700,280600,104700,183400,350000
2012,Below Secondary,female,480100,281900,107300,177300,320700
2011,Below Secondary,female,491000,285100,102900,166100,307300
2010,Below Secondary,female,499600,268300,112600,165100,288100
2009,Below Secondary,female,518900,304800,72800,149100,266400
2008,Below Secondary,female,497600,307700,71600,140500,246300
2007,Below Secondary,female,538700,297800,75300,131500,226300
2006,Below Secondary,female,543900,291600,74000,122400,212700
2005,Below Secondary,female,524400,256800,102800,126400,180500
2004,Below Secondary,female,551400,270900,73400,106900,172800
2003,Below Secondary,female,554300,281900,72800,99300,158600
2002,Below Secondary,female,547300,287500,70600,86100,140000
2001,Below Secondary,female,545900,276300,67700,84500,121200
2000,Below Secondary,female,517300,255900,91800,91200,105100
