year,age,sex,industry,numberOfWorkers,,,,,,,,,,,,,,,
2021,15-19,female,Manufacturing,300,,,,,,,,,,,,,,,
2020,15-19,female,Manufacturing,500,,,,,,,,,,,,,,,
2019,15-19,female,Manufacturing,600,,,,,,,,,,,,,,,
2018,15-19,female,Manufacturing,300,,,,,,,,,,,,,,,
2017,15-19,female,Manufacturing,600,,,,,,,,,,,,,,,
2016,15-19,female,Manufacturing,600,,,,,,,,,,,,,,,
2015,15-19,female,Manufacturing,700,,,,,,,,,,,,,,,
2014,15-19,female,Manufacturing,500,,,,,,,,,,,,,,,
2013,15-19,female,Manufacturing,600,,,,,,,,,,,,,,,
2012,15-19,female,Manufacturing,600,,,,,,,,,,,,,,,
2011,15-19,female,Manufacturing,500,,,,,,,,,,,,,,,
2010,15-19,female,Manufacturing,300,,,,,,,,,,,,,,,
2009,15-19,female,Manufacturing,200,,,,,,,,,,,,,,,
2008,15-19,female,Manufacturing,600,,,,,,,,,,,,,,,
2007,15-19,female,Manufacturing,400,,,,,,,,,,,,,,,
2006,15-19,female,Manufacturing,700,,,,,,,,,,,,,,,
2005,15-19,female,Manufacturing,800,,,,,,,,,,,,,,,
2004,15-19,female,Manufacturing,900,,,,,,,,,,,,,,,
2003,15-19,female,Manufacturing,600,,,,,,,,,,,,,,,
2002,15-19,female,Manufacturing,700,,,,,,,,,,,,,,,
2001,15-19,female,Manufacturing,800,,,,,,,,,,,,,,,
2000,15-19,female,Manufacturing,1100,,,,,,,,,,,,,,,
2021,20-24,female,Manufacturing,2600,,,,,,,,,,,,,,,
2020,20-24,female,Manufacturing,3000,,,,,,,,,,,,,,,
2019,20-24,female,Manufacturing,2800,,,,,,,,,,,,,,,
2018,20-24,female,Manufacturing,3100,,,,,,,,,,,,,,,
2017,20-24,female,Manufacturing,2500,,,,,,,,,,,,,,,
2016,20-24,female,Manufacturing,2300,,,,,,,,,,,,,,,
2015,20-24,female,Manufacturing,3200,,,,,,,,,,,,,,,
2014,20-24,female,Manufacturing,3100,,,,,,,,,,,,,,,
2013,20-24,female,Manufacturing,3900,,,,,,,,,,,,,,,
2012,20-24,female,Manufacturing,3500,,,,,,,,,,,,,,,
2011,20-24,female,Manufacturing,3900,,,,,,,,,,,,,,,
2010,20-24,female,Manufacturing,4200,,,,,,,,,,,,,,,
2009,20-24,female,Manufacturing,4000,,,,,,,,,,,,,,,
2008,20-24,female,Manufacturing,5300,,,,,,,,,,,,,,,
2007,20-24,female,Manufacturing,5600,,,,,,,,,,,,,,,
2006,20-24,female,Manufacturing,5100,,,,,,,,,,,,,,,
2005,20-24,female,Manufacturing,5900,,,,,,,,,,,,,,,
2004,20-24,female,Manufacturing,6400,,,,,,,,,,,,,,,
2003,20-24,female,Manufacturing,6400,,,,,,,,,,,,,,,
2002,20-24,female,Manufacturing,6900,,,,,,,,,,,,,,,
2001,20-24,female,Manufacturing,8200,,,,,,,,,,,,,,,
2000,20-24,female,Manufacturing,8100,,,,,,,,,,,,,,,
2021,25-29,female,Manufacturing,4900,,,,,,,,,,,,,,,
2020,25-29,female,Manufacturing,6000,,,,,,,,,,,,,,,
2019,25-29,female,Manufacturing,5500,,,,,,,,,,,,,,,
2018,25-29,female,Manufacturing,6000,,,,,,,,,,,,,,,
2017,25-29,female,Manufacturing,5200,,,,,,,,,,,,,,,
2016,25-29,female,Manufacturing,7200,,,,,,,,,,,,,,,
2015,25-29,female,Manufacturing,5200,,,,,,,,,,,,,,,
2014,25-29,female,Manufacturing,6500,,,,,,,,,,,,,,,
2013,25-29,female,Manufacturing,8300,,,,,,,,,,,,,,,
2012,25-29,female,Manufacturing,9700,,,,,,,,,,,,,,,
2011,25-29,female,Manufacturing,9200,,,,,,,,,,,,,,,
2010,25-29,female,Manufacturing,10400,,,,,,,,,,,,,,,
