year,age,  Manufacturing,  Construction,    Wholesale & Retail Trade,    Transportation & Storage,    Accommodation & Food Services,    Information & Communications,    Financial & Insurance Services,    Real Estate Services,    Professional Services,    Administrative & Support Services,    Public Administration & Education,    Health & Social Services,"    Arts, Entertainment & Recreation","    Other Community, Social & Personal Services",  Others,
2021,15-19,300,400,1700,600,2900,200,600,100,600,400,900,2000,100,300,100,
2020,15-19,500,100,1400,400,2000,400,500,100,400,500,900,500,200,300,100,
2019,15-19,600,100,2500,500,2900,300,500,100,600,400,1000,1100,800,200,100,
2018,15-19,300,0,2600,500,3000,800,700,200,600,400,900,800,700,400,200,
2017,15-19,600,200,2400,600,2600,200,300,100,400,400,1000,900,400,300,0,
2016,15-19,600,0,3200,300,4100,300,500,100,500,300,1200,900,600,200,0,
2015,15-19,700,200,3500,400,3300,600,600,0,900,400,1800,700,400,300,100,
2014,15-19,500,100,2300,200,2700,600,200,0,700,200,1000,800,600,200,0,
2013,15-19,600,0,2600,300,3200,300,300,0,600,400,1200,900,400,300,0,
2012,15-19,600,100,2700,500,2300,300,600,100,700,300,2000,1000,900,400,0,
2011,15-19,500,0,3500,400,1700,300,300,100,600,500,1200,700,400,400,0,
2010,15-19,300,100,3600,400,2700,700,400,200,700,700,1900,1300,600,400,100,
2009,15-19,200,100,2800,200,2500,500,200,100,500,500,1300,800,400,500,0,
2008,15-19,600,100,3300,500,2300,400,600,100,600,600,2000,900,200,400,0,
2007,15-19,400,200,4300,600,2600,600,500,0,500,600,1100,700,500,300,0,
2006,15-19,700,0,3600,400,3600,600,500,0,500,300,1100,600,300,300,0,
2005,15-19,800,0,2700,200,1600,100,300,0,200,400,500,400,200,400,0,
2004,15-19,900,100,3700,300,2900,400,400,100,200,200,800,500,100,400,0,
2003,15-19,600,100,3100,300,2000,300,300,100,300,300,1200,200,100,400,0,
2002,15-19,700,200,2700,200,2000,300,500,0,300,200,1100,300,100,300,100,
2001,15-19,800,100,3200,800,2000,700,800,100,200,200,1300,800,300,200,200,
2000,15-19,1100,100,3000,500,1300,500,700,200,400,400,1300,700,300,200,0,
2021,20-24,2600,1100,7700,2400,4500,4800,5200,900,8700,2300,8100,9300,1200,1700,200,
2020,20-24,3000,1200,8200,4000,4300,3800,4600,700,6200,1900,6900,7700,1000,1800,300,
2019,20-24,2800,700,8000,3300,5700,3800,5100,700,7400,3600,8700,9300,1200,1600,600,
2018,20-24,3100,900,9800,3900,5400,3300,6900,900,7500,1600,8800,8300,2200,2100,400,
2017,20-24,2500,1300,10200,3200,4600,2800,5200,1300,6400,2500,7900,9900,1800,1900,300,
2016,20-24,2300,800,11600,4300,5100,3300,7300,1100,8000,2500,9100,8300,2400,2100,400,
2015,20-24,3200,1400,10100,4000,4700,3700,6500,1300,8700,2600,12100,8600,2500,2900,400,
2014,20-24,3100,1100,10200,3800,5000,3300,5900,900,6700,2200,11000,9300,3000,1500,500,
2013,20-24,3900,900,10100,4500,4400,3200,5000,1400,5700,3300,9300,6700,2200,1700,600,
2012,20-24,3500,1500,10600,4200,4800,3300,7400,1200,7400,2400,11800,8400,2700,1600,700,
2011,20-24,3900,1100,10700,4700,5700,3200,6700,1200,6800,2900,10300,8700,2100,1900,400,
2010,20-24,4200,1000,10000,3500,4400,3400,5200,1400,6600,3000,12100,7200,2100,1500,700,
2009,20-24,4000,1100,7600,3800,4400,3100,5600,1000,4800,3300,8700,6100,1100,2400,300,
2008,20-24,5300,1100,10000,3900,3700,4000,7200,1300,7000,2800,7700,6000,900,1800,200,
2007,20-24,5600,1000,9900,4100,4000,3700,6300,1000,5800,2800,7800,5700,900,1400,200,
2006,20-24,5100,1100,10700,3800,4000,3800,6400,1200,6500,3000,9500,6100,900,2300,500,
2005,20-24,5900,500,11300,4300,3000,3200,5800,1000,5300,2300,7400,4200,700,1700,300,
2004,20-24,6400,900,10100,4000,3200,3500,5500,800,4900,1700,8300,5700,400,1500,400,
2003,20-24,6400,1400,10200,4600,3700,3500,4300,1200,3700,1700,8900,3900,500,1000,600,
2002,20-24,6900,900,9000,3900,2800,3300,4600,1200,3700,1900,8800,2800,600,1500,500,
2001,20-24,8200,1200,9400,5000,3300,5300,5600,1400,5400,2200,8300,3800,700,1000,300,
2000,20-24,8100,1500,10400,4200,2700,4200,6500,1900,5100,2000,8100,3400,900,1300,300,
2021,25-29,4900,1800,13700,5600,3500,9000,14200,2200,16300,3700,16300,16900,2000,3900,600,
2020,25-29,6000,2400,14000,5400,4800,8500,15400,2600,13700,4600,16900,19600,2400,2900,600,
2019,25-29,5500,1800,13400,5700,3300,6900,15100,1600,14000,3500,17700,17000,2100,2700,900,
2018,25-29,6000,2000,14700,5800,4900,5800,13500,2400,13000,4200,18700,15400,2500,3200,900,
2017,25-29,5200,2000,14100,4600,3500,5000,15200,2400,13100,4000,20100,15100,2400,2500,800,
2016,25-29,7200,2300,14600,5200,4900,5900,14300,2500,13400,4000,20200,15400,3000,3000,600,
2015,25-29,5200,1900,14600,5000,4800,4600,13100,2700,12700,4100,18100,12200,2800,3900,600,
2014,25-29,6500,2700,14600,5500,4200,5500,11000,2800,12000,3100,17500,11600,2500,2800,1000,
2013,25-29,8300,1600,12800,6900,4600,4400,12900,1600,10400,3400,18600,10300,2500,2900,1000,
2012,25-29,9700,2000,11300,6000,3800,5000,13200,3200,9400,3400,17500,9300,2200,2200,900,
2011,25-29,9200,1800,13300,6400,4400,6100,14200,2400,9200,3200,16100,9300,2500,2900,900,
2010,25-29,10400,2900,12500,7000,3300,6900,12500,2200,10100,3700,17600,8800,2000,2700,1100,
2009,25-29,10700,2300,11900,6400,3800,7600,12500,2700,10600,3700,16000,8600,1400,2500,800,
2008,25-29,13100,1700,11600,6800,3400,6400,12500,2100,9000,3500,16300,8600,900,3300,1000,
2007,25-29,15100,1700,14100,6600,3900,7500,10800,2200,9200,3500,15700,7000,1500,2400,400,
2006,25-29,12100,1900,15000,7000,3700,6100,11300,2300,10300,2800,16200,7800,1700,2700,1200,
2005,25-29,14100,1700,17900,6400,3500,6500,10800,2500,9100,3100,14800,6300,1100,2600,700,
2004,25-29,14800,1700,14400,6500,3200,6000,10600,2900,6700,3600,15200,6700,1100,2200,1000,
2003,25-29,17300,2900,13900,6100,3800,7200,10300,2600,7800,3300,15900,5500,900,2600,800,
2002,25-29,15800,2800,14700,7400,2800,6800,12000,2900,8700,3200,13500,5200,800,2300,400,
2001,25-29,18300,3200,14800,8600,3500,9000,11400,3000,8500,3100,12800,4900,700,2300,800,
2000,25-29,17500,2900,17200,7100,3000,6600,13300,3000,8900,3100,11700,5000,1300,2500,300,
2021,30-34,8600,3300,18600,7500,5100,8800,19400,3300,15900,5300,24500,20100,2100,4800,900,
2020,30-34,6900,3400,16000,6500,5400,6600,16700,2700,13200,4700,21100,15200,2600,4000,600,
2019,30-34,7400,2800,18600,5400,3600,6900,15800,2600,13700,4200,19400,14900,2100,3800,1700,
2018,30-34,7000,3400,17900,5700,4700,5800,15600,2700,11000,3800,17300,13300,2600,3200,800,
2017,30-34,7800,4000,18200,5000,4300,5400,16300,3600,12500,4000,18100,12300,3200,3600,900,
2016,30-34,7900,3500,18500,5800,4100,5700,17500,2700,11100,4000,18500,11800,2100,3700,800,
