year,age,industry,female,male
2021,15-19,Manufacturing,300,400
2020,15-19,Manufacturing,500,600
2019,15-19,Manufacturing,600,200
2018,15-19,Manufacturing,300,500
2017,15-19,Manufacturing,600,500
2016,15-19,Manufacturing,600,300
2015,15-19,Manufacturing,700,700
2014,15-19,Manufacturing,500,200
2013,15-19,Manufacturing,600,200
2012,15-19,Manufacturing,600,600
2011,15-19,Manufacturing,500,300
2010,15-19,Manufacturing,300,400
2009,15-19,Manufacturing,200,200
2008,15-19,Manufacturing,600,600
2007,15-19,Manufacturing,400,400
2006,15-19,Manufacturing,700,600
2005,15-19,Manufacturing,800,100
2004,15-19,Manufacturing,900,400
2003,15-19,Manufacturing,600,400
2002,15-19,Manufacturing,700,300
2001,15-19,Manufacturing,800,700
2000,15-19,Manufacturing,1100,300
2021,20-24,Manufacturing,2600,2700
2020,20-24,Manufacturing,3000,2500
2019,20-24,Manufacturing,2800,2000
2018,20-24,Manufacturing,3100,3000
2017,20-24,Manufacturing,2500,2300
2016,20-24,Manufacturing,2300,3400
2015,20-24,Manufacturing,3200,3200
2014,20-24,Manufacturing,3100,2800
2013,20-24,Manufacturing,3900,3500
2012,20-24,Manufacturing,3500,3500
2011,20-24,Manufacturing,3900,4000
2010,20-24,Manufacturing,4200,3800
2009,20-24,Manufacturing,4000,3200
2008,20-24,Manufacturing,5300,5200
2007,20-24,Manufacturing,5600,6000
2006,20-24,Manufacturing,5100,5500
2005,20-24,Manufacturing,5900,5300
2004,20-24,Manufacturing,6400,4000
2003,20-24,Manufacturing,6400,3600
2002,20-24,Manufacturing,6900,4700
2001,20-24,Manufacturing,8200,5000
2000,20-24,Manufacturing,8100,5700
2021,25-29,Manufacturing,4900,9300
2020,25-29,Manufacturing,6000,10600
2019,25-29,Manufacturing,5500,8300
2018,25-29,Manufacturing,6000,9200
2017,25-29,Manufacturing,5200,9600
2016,25-29,Manufacturing,7200,8900
2015,25-29,Manufacturing,5200,8600
2014,25-29,Manufacturing,6500,11200
2013,25-29,Manufacturing,8300,11800
2012,25-29,Manufacturing,9700,12800
2011,25-29,Manufacturing,9200,15300
2010,25-29,Manufacturing,10400,15000
2009,25-29,Manufacturing,10700,16700
2008,25-29,Manufacturing,13100,18400
2007,25-29,Manufacturing,15100,18500
2006,25-29,Manufacturing,12100,20200
2005,25-29,Manufacturing,14100,18700
2004,25-29,Manufacturing,14800,18300
2003,25-29,Manufacturing,17300,20100
2002,25-29,Manufacturing,15800,20100
2001,25-29,Manufacturing,18300,22400
2000,25-29,Manufacturing,17500,23500
2021,30-34,Manufacturing,8600,11600
2020,30-34,Manufacturing,6900,10600
2019,30-34,Manufacturing,7400,11200
2018,30-34,Manufacturing,7000,11500
2017,30-34,Manufacturing,7800,10800
2016,30-34,Manufacturing,7900,14700
2015,30-34,Manufacturing,9500,16100
2014,30-34,Manufacturing,9900,16700
2013,30-34,Manufacturing,13100,19700
2012,30-34,Manufacturing,14000,21500
2011,30-34,Manufacturing,14100,25700
2010,30-34,Manufacturing,17200,24900
2009,30-34,Manufacturing,16200,25400
2008,30-34,Manufacturing,16400,26100
2007,30-34,Manufacturing,18600,28600
2006,30-34,Manufacturing,17900,26400
2005,30-34,Manufacturing,17600,26600
2004,30-34,Manufacturing,19300,27300
2003,30-34,Manufacturing,21600,30100
2002,30-34,Manufacturing,19800,28500
2001,30-34,Manufacturing,20800,33200
2000,30-34,Manufacturing,20200,32700
2021,35-39,Manufacturing,9200,14700
2020,35-39,Manufacturing,9600,14400
2019,35-39,Manufacturing,9500,15600
2018,35-39,Manufacturing,12100,17300
2017,35-39,Manufacturing,11400,19200
2016,35-39,Manufacturing,9200,18900
2015,35-39,Manufacturing,11800,20200
2014,35-39,Manufacturing,11800,23400
2013,35-39,Manufacturing,15500,25100
2012,35-39,Manufacturing,14900,27800
2011,35-39,Manufacturing,15500,29100
2010,35-39,Manufacturing,17700,30200
2009,35-39,Manufacturing,20400,28700
2008,35-39,Manufacturing,19700,33600
2007,35-39,Manufacturing,20200,31300
2006,35-39,Manufacturing,17500,31900
2005,35-39,Manufacturing,18200,30600
2004,35-39,Manufacturing,20700,32100
2003,35-39,Manufacturing,19200,37300
2002,35-39,Manufacturing,18800,38600
2001,35-39,Manufacturing,18600,38600
2000,35-39,Manufacturing,19500,34700
2021,40-44,Manufacturing,10800,19300
2020,40-44,Manufacturing,10600,18700
2019,40-44,Manufacturing,11500,18000
2018,40-44,Manufacturing,12000,24200
2017,40-44,Manufacturing,11200,22900
2016,40-44,Manufacturing,12200,21500
2015,40-44,Manufacturing,13400,24100
2014,40-44,Manufacturing,13400,23500
2013,40-44,Manufacturing,16600,25800
2012,40-44,Manufacturing,16100,27500
2011,40-44,Manufacturing,16100,27800
2010,40-44,Manufacturing,17200,31200
2009,40-44,Manufacturing,17300,30800
2008,40-44,Manufacturing,17800,33900
2007,40-44,Manufacturing,17400,31500
2006,40-44,Manufacturing,19000,35100
2005,40-44,Manufacturing,16300,30900
2004,40-44,Manufacturing,18000,33400
2003,40-44,Manufacturing,17000,32700
2002,40-44,Manufacturing,19700,33100
2001,40-44,Manufacturing,19200,34000
2000,40-44,Manufacturing,18000,30100
2021,45-49,Manufacturing,10800,19100
2020,45-49,Manufacturing,10900,19800
2019,45-49,Manufacturing,12200,21300
2018,45-49,Manufacturing,12900,20800
2017,45-49,Manufacturing,12700,22500
2016,45-49,Manufacturing,11900,21900
2015,45-49,Manufacturing,12400,24700
2014,45-49,Manufacturing,12400,23600
2013,45-49,Manufacturing,16900,28500
2012,45-49,Manufacturing,14900,29900
2011,45-49,Manufacturing,15600,31200
2010,45-49,Manufacturing,14600,29300
2009,45-49,Manufacturing,13700,28500
2008,45-49,Manufacturing,16600,31100
2007,45-49,Manufacturing,16100,27600
