year,industry,femaleWorkers,maleWorkers
2022,Accommodation & Food Services,71800,54800
2021,Accommodation & Food Services,70000,55200
2020,Accommodation & Food Services,73000,55900
2019,Accommodation & Food Services,73600,58200
2018,Accommodation & Food Services,75000,59400
2017,Accommodation & Food Services,73900,60500
2016,Accommodation & Food Services,78100,60100
2015,Accommodation & Food Services,78000,61100
2014,Accommodation & Food Services,76400,60700
2013,Accommodation & Food Services,75200,60000
2012,Accommodation & Food Services,71100,58200
2011,Accommodation & Food Services,74100,61100
2010,Accommodation & Food Services,68700,60200
2009,Accommodation & Food Services,67300,57500
2008,Accommodation & Food Services,66400,53500
2007,Accommodation & Food Services,63500,59600
2006,Accommodation & Food Services,66900,61900
2005,Accommodation & Food Services,53700,49500
2004,Accommodation & Food Services,55600,52300
2003,Accommodation & Food Services,54800,53000
2002,Accommodation & Food Services,52100,51400
2001,Accommodation & Food Services,54900,50100
2000,Accommodation & Food Services,45500,47100
2022,Administrative & Support Services,49900,70400
2021,Administrative & Support Services,50100,69900
2020,Administrative & Support Services,53000,75300
2019,Administrative & Support Services,53200,66800
2018,Administrative & Support Services,49500,68500
2017,Administrative & Support Services,51800,62900
2016,Administrative & Support Services,49400,66500
2015,Administrative & Support Services,48400,60500
2014,Administrative & Support Services,42400,59600
2013,Administrative & Support Services,43500,55700
2012,Administrative & Support Services,44600,57500
2011,Administrative & Support Services,43100,54300
2010,Administrative & Support Services,44600,55500
2009,Administrative & Support Services,40800,48000
2008,Administrative & Support Services,38400,48800
2007,Administrative & Support Services,37800,50300
2006,Administrative & Support Services,33800,46700
2005,Administrative & Support Services,30000,43600
2004,Administrative & Support Services,28100,40700
2003,Administrative & Support Services,25700,39100
2002,Administrative & Support Services,25100,37100
2001,Administrative & Support Services,23800,33500
2000,Administrative & Support Services,20700,33100
2022,"Arts, Entertainment & Recreation",18600,15900
2021,"Arts, Entertainment & Recreation",16100,16800
2020,"Arts, Entertainment & Recreation",17300,17100
2019,"Arts, Entertainment & Recreation",18500,15700
2018,"Arts, Entertainment & Recreation",18400,19300
2017,"Arts, Entertainment & Recreation",17900,17300
2016,"Arts, Entertainment & Recreation",20600,19900
2015,"Arts, Entertainment & Recreation",18600,18300
2014,"Arts, Entertainment & Recreation",18300,16800
2013,"Arts, Entertainment & Recreation",17300,19900
2012,"Arts, Entertainment & Recreation",18300,20700
2011,"Arts, Entertainment & Recreation",15700,18000
2010,"Arts, Entertainment & Recreation",15800,17100
2009,"Arts, Entertainment & Recreation",10200,12400
2008,"Arts, Entertainment & Recreation",8500,12600
2007,"Arts, Entertainment & Recreation",9900,12200
2006,"Arts, Entertainment & Recreation",8500,11200
2005,"Arts, Entertainment & Recreation",8600,9800
2004,"Arts, Entertainment & Recreation",7200,6900
2003,"Arts, Entertainment & Recreation",6600,7800
2002,"Arts, Entertainment & Recreation",6800,8600
2001,"Arts, Entertainment & Recreation",6400,7100
2000,"Arts, Entertainment & Recreation",8700,10700
2022,Construction,29000,68700
2021,Construction,29800,68700
2020,Construction,28300,68900
2019,Construction,27000,71000
2018,Construction,27800,76700
2017,Construction,28600,72100
2016,Construction,27700,73500
2015,Construction,30000,80600
2014,Construction,25200,73000
2013,Construction,24000,77900
2012,Construction,23900,80600
2011,Construction,22200,77400
2010,Construction,23200,80800
2009,Construction,26100,87800
2008,Construction,20600,84900
2007,Construction,18600,82100
2006,Construction,17200,77800
2005,Construction,15200,70300
2004,Construction,15000,77600
2003,Construction,17600,80100
2002,Construction,14900,81600
2001,Construction,17000,83100
2000,Construction,14800,77500
2022,Financial & Insurance Services,118300,117500
2021,Financial & Insurance Services,114400,110800
2020,Financial & Insurance Services,107800,100100
2019,Financial & Insurance Services,105500,103900
2018,Financial & Insurance Services,101600,94500
2017,Financial & Insurance Services,98800,90800
2016,Financial & Insurance Services,100100,90600
2015,Financial & Insurance Services,88700,78500
2014,Financial & Insurance Services,84700,80900
2013,Financial & Insurance Services,79400,68500
2012,Financial & Insurance Services,79700,70800
2011,Financial & Insurance Services,79300,66200
2010,Financial & Insurance Services,68800,57100
2009,Financial & Insurance Services,68000,53900
2008,Financial & Insurance Services,70800,52700
2007,Financial & Insurance Services,63200,46500
2006,Financial & Insurance Services,61000,45400
2005,Financial & Insurance Services,58600,44800
2004,Financial & Insurance Services,53900,37900
2003,Financial & Insurance Services,53200,35400
2002,Financial & Insurance Services,54000,36800
2001,Financial & Insurance Services,52500,36600
2000,Financial & Insurance Services,53700,37600
2022,Health & Social Services,121600,38700
2021,Health & Social Services,116100,36900
2020,Health & Social Services,108100,31800
2019,Health & Social Services,105200,31100
2018,Health & Social Services,97200,28800
2017,Health & Social Services,96400,28400
2016,Health & Social Services,90300,25600
2015,Health & Social Services,81800,23900
2014,Health & Social Services,82900,24800
2013,Health & Social Services,72100,22700
2012,Health & Social Services,70700,20000
2011,Health & Social Services,67700,19800
2010,Health & Social Services,62300,21000
2009,Health & Social Services,57900,19100
2008,Health & Social Services,57200,17100
2007,Health & Social Services,52800,17100
2006,Health & Social Services,54200,16600
2005,Health & Social Services,46400,13700
2004,Health & Social Services,47700,14100
2003,Health & Social Services,42100,13500
2002,Health & Social Services,40200,12900
2001,Health & Social Services,40900,12800
2000,Health & Social Services,35300,11000
2022,Information & Communications,53500,79300
2021,Information & Communications,49900,70500
2020,Information & Communications,45000,66400
2019,Information & Communications,42500,60100
2018,Information & Communications,38900,55100
2017,Information & Communications,34600,56700
2016,Information & Communications,34500,52500
2015,Information & Communications,34400,51600
2014,Information & Communications,34600,53800
2013,Information & Communications,36600,55700
2012,Information & Communications,31900,54600
2011,Information & Communications,34000,51900
2010,Information & Communications,37900,62600
2009,Information & Communications,38200,56100
2008,Information & Communications,34900,52100
2007,Information & Communications,35600,52100
2006,Information & Communications,29900,44900
2005,Information & Communications,26900,37100
2004,Information & Communications,27700,39800
2003,Information & Communications,28200,40000
2002,Information & Communications,27000,38500
2001,Information & Communications,32800,42300
2000,Information & Communications,24300,30800
2022,Manufacturing,83200,141700
2021,Manufacturing,80300,131800
2020,Manufacturing,77900,135100
2019,Manufacturing,77600,136900
2018,Manufacturing,82900,144800
2017,Manufacturing,78200,145200
2016,Manufacturing,81600,145600
2015,Manufacturing,85000,153500
2014,Manufacturing,86500,162800
