year,occupation,femaleWorkers,maleWorkers
2021,Associate Professionals & Technicians,230700,235100
2020,Associate Professionals & Technicians,226500,231700
2019,Associate Professionals & Technicians,224700,243200
2018,Associate Professionals & Technicians,222500,242500
2017,Associate Professionals & Technicians,211400,224800
2016,Associate Professionals & Technicians,208200,229900
2015,Associate Professionals & Technicians,193700,214600
2014,Associate Professionals & Technicians,188900,202700
2013,Associate Professionals & Technicians,164300,195100
2012,Associate Professionals & Technicians,155800,184600
2011,Associate Professionals & Technicians,154500,182600
2010,Associate Professionals & Technicians,136300,167100
2009,Associate Professionals & Technicians,151500,158200
2008,Associate Professionals & Technicians,146300,161500
2007,Associate Professionals & Technicians,137700,151800
2005,Associate Professionals & Technicians,120200,135500
2004,Associate Professionals & Technicians,116500,143300
2003,Associate Professionals & Technicians,110500,130300
2002,Associate Professionals & Technicians,104700,129700
2001,Associate Professionals & Technicians,105600,132600
2000,Associate Professionals & Technicians,100400,134100
2021,"Cleaners, Labourers & Related Workers",84400,67100
2020,"Cleaners, Labourers & Related Workers",84200,65300
2019,"Cleaners, Labourers & Related Workers",85100,64400
2018,"Cleaners, Labourers & Related Workers",90200,66200
2017,"Cleaners, Labourers & Related Workers",92100,68400
2016,"Cleaners, Labourers & Related Workers",95100,65600
2015,"Cleaners, Labourers & Related Workers",94700,65600
2014,"Cleaners, Labourers & Related Workers",93800,72100
2013,"Cleaners, Labourers & Related Workers",82900,67300
2012,"Cleaners, Labourers & Related Workers",80600,64700
2011,"Cleaners, Labourers & Related Workers",82800,62900
2010,"Cleaners, Labourers & Related Workers",78900,66600
2009,"Cleaners, Labourers & Related Workers",76100,64900
2008,"Cleaners, Labourers & Related Workers",74900,63700
2007,"Cleaners, Labourers & Related Workers",73000,70600
2005,"Cleaners, Labourers & Related Workers",48000,51300
2004,"Cleaners, Labourers & Related Workers",58800,65100
2003,"Cleaners, Labourers & Related Workers",58300,65600
2002,"Cleaners, Labourers & Related Workers",54700,60100
2001,"Cleaners, Labourers & Related Workers",55900,58600
2000,"Cleaners, Labourers & Related Workers",47200,56600
2021,Clerical Support Workers,171400,52000
2020,Clerical Support Workers,163900,51700
2019,Clerical Support Workers,180900,56300
2018,Clerical Support Workers,181100,59900
2017,Clerical Support Workers,189500,58400
2016,Clerical Support Workers,184900,60000
2015,Clerical Support Workers,204400,63300
2014,Clerical Support Workers,202000,66400
2013,Clerical Support Workers,206600,65100
2012,Clerical Support Workers,204300,61400
2011,Clerical Support Workers,192100,57200
2010,Clerical Support Workers,190700,52900
