year,occupation,numberOfWorkers,sex,percentage
2021,Associate Professionals & Technicians,230700,female,49.53%
2020,Associate Professionals & Technicians,226500,female,49.43%
2019,Associate Professionals & Technicians,224700,female,48.02%
2018,Associate Professionals & Technicians,222500,female,47.85%
2017,Associate Professionals & Technicians,211400,female,48.46%
2016,Associate Professionals & Technicians,208200,female,47.52%
2015,Associate Professionals & Technicians,193700,female,47.44%
2014,Associate Professionals & Technicians,188900,female,48.24%
2013,Associate Professionals & Technicians,164300,female,45.72%
2012,Associate Professionals & Technicians,155800,female,45.77%
2011,Associate Professionals & Technicians,154500,female,45.83%
2010,Associate Professionals & Technicians,136300,female,44.92%
2009,Associate Professionals & Technicians,151500,female,48.92%
2008,Associate Professionals & Technicians,146300,female,47.53%
2007,Associate Professionals & Technicians,137700,female,47.56%
2005,Associate Professionals & Technicians,120200,female,47.01%
2004,Associate Professionals & Technicians,116500,female,44.84%
2003,Associate Professionals & Technicians,110500,female,45.89%
2002,Associate Professionals & Technicians,104700,female,44.67%
2001,Associate Professionals & Technicians,105600,female,44.33%
2000,Associate Professionals & Technicians,100400,female,42.81%
2021,Associate Professionals & Technicians,235100,male,50.47%
2020,Associate Professionals & Technicians,231700,male,50.57%
2019,Associate Professionals & Technicians,243200,male,51.98%
2018,Associate Professionals & Technicians,242500,male,52.15%
2017,Associate Professionals & Technicians,224800,male,51.54%
2016,Associate Professionals & Technicians,229900,male,52.48%
2015,Associate Professionals & Technicians,214600,male,52.56%
2014,Associate Professionals & Technicians,202700,male,51.76%
2013,Associate Professionals & Technicians,195100,male,54.28%
2012,Associate Professionals & Technicians,184600,male,54.23%
2011,Associate Professionals & Technicians,182600,male,54.17%
2010,Associate Professionals & Technicians,167100,male,55.08%
2009,Associate Professionals & Technicians,158200,male,51.08%
2008,Associate Professionals & Technicians,161500,male,52.47%
2007,Associate Professionals & Technicians,151800,male,52.44%
2005,Associate Professionals & Technicians,135500,male,52.99%
2004,Associate Professionals & Technicians,143300,male,55.16%
2003,Associate Professionals & Technicians,130300,male,54.11%
2002,Associate Professionals & Technicians,129700,male,55.33%
2001,Associate Professionals & Technicians,132600,male,55.67%
2000,Associate Professionals & Technicians,134100,male,57.19%
2021,"Cleaners, Labourers & Related Workers",84400,female,55.71%
2020,"Cleaners, Labourers & Related Workers",84200,female,56.32%
2019,"Cleaners, Labourers & Related Workers",85100,female,56.92%
2018,"Cleaners, Labourers & Related Workers",90200,female,57.67%
2017,"Cleaners, Labourers & Related Workers",92100,female,57.38%
2016,"Cleaners, Labourers & Related Workers",95100,female,59.18%
2015,"Cleaners, Labourers & Related Workers",94700,female,59.08%
2014,"Cleaners, Labourers & Related Workers",93800,female,56.54%
2013,"Cleaners, Labourers & Related Workers",82900,female,55.19%
2012,"Cleaners, Labourers & Related Workers",80600,female,55.47%
2011,"Cleaners, Labourers & Related Workers",82800,female,56.83%
2010,"Cleaners, Labourers & Related Workers",78900,female,54.23%
2009,"Cleaners, Labourers & Related Workers",76100,female,53.97%
2008,"Cleaners, Labourers & Related Workers",74900,female,54.04%
2007,"Cleaners, Labourers & Related Workers",73000,female,50.84%
2005,"Cleaners, Labourers & Related Workers",48000,female,48.34%
2004,"Cleaners, Labourers & Related Workers",58800,female,47.46%
2003,"Cleaners, Labourers & Related Workers",58300,female,47.05%
2002,"Cleaners, Labourers & Related Workers",54700,female,47.65%
2001,"Cleaners, Labourers & Related Workers",55900,female,48.82%
2000,"Cleaners, Labourers & Related Workers",47200,female,45.47%
2021,"Cleaners, Labourers & Related Workers",67100,male,44.29%
2020,"Cleaners, Labourers & Related Workers",65300,male,43.68%
2019,"Cleaners, Labourers & Related Workers",64400,male,43.08%
2018,"Cleaners, Labourers & Related Workers",66200,male,42.33%
2017,"Cleaners, Labourers & Related Workers",68400,male,42.62%
2016,"Cleaners, Labourers & Related Workers",65600,male,40.82%
2015,"Cleaners, Labourers & Related Workers",65600,male,40.92%
2014,"Cleaners, Labourers & Related Workers",72100,male,43.46%
2013,"Cleaners, Labourers & Related Workers",67300,male,44.81%
2012,"Cleaners, Labourers & Related Workers",64700,male,44.53%
2011,"Cleaners, Labourers & Related Workers",62900,male,43.17%
2010,"Cleaners, Labourers & Related Workers",66600,male,45.77%
2009,"Cleaners, Labourers & Related Workers",64900,male,46.03%
2008,"Cleaners, Labourers & Related Workers",63700,male,45.96%
2007,"Cleaners, Labourers & Related Workers",70600,male,49.16%
2005,"Cleaners, Labourers & Related Workers",51300,male,51.66%
2004,"Cleaners, Labourers & Related Workers",65100,male,52.54%
2003,"Cleaners, Labourers & Related Workers",65600,male,52.95%
2002,"Cleaners, Labourers & Related Workers",60100,male,52.35%
2001,"Cleaners, Labourers & Related Workers",58600,male,51.18%
2000,"Cleaners, Labourers & Related Workers",56600,male,54.53%
2021,Clerical Support Workers,171400,female,76.72%
2020,Clerical Support Workers,163900,female,76.02%
2019,Clerical Support Workers,180900,female,76.26%
2018,Clerical Support Workers,181100,female,75.15%
2017,Clerical Support Workers,189500,female,76.44%
2016,Clerical Support Workers,184900,female,75.50%
2015,Clerical Support Workers,204400,female,76.35%
2014,Clerical Support Workers,202000,female,75.26%
2013,Clerical Support Workers,206600,female,76.04%
2012,Clerical Support Workers,204300,female,76.89%
2011,Clerical Support Workers,192100,female,77.06%
2010,Clerical Support Workers,190700,female,78.28%
2009,Clerical Support Workers,179900,female,76.07%
2008,Clerical Support Workers,179300,female,75.65%
2007,Clerical Support Workers,176400,female,76.30%
